product_id,name,category,price
prod_000001,Camera Model 1,Electronics,370.57
prod_000002,Jacket Model 2,Clothing,234.92
prod_000003,Biography Model 3,Books,114.06
prod_000004,Lamp Model 4,Home & Garden,375.18
prod_000005,Smart Watch Model 5,Electronics,245.57
prod_000006,Remote Car Model 6,Toys,211.2
prod_000007,Hoodie Model 7,Clothing,32
prod_000008,Volleyball Model 8,Sports,480.85
prod_000009,Jeans Model 9,Clothing,508.75
prod_000010,Volleyball Model 10,Sports,46.15
prod_000011,Perfume Model 11,Beauty,371.96
prod_000012,Coffee Maker Model 12,Home & Garden,241.6
prod_000013,Baseball Glove Model 13,Sports,97.95
prod_000014,Bedding Model 14,Home & Garden,62.43
prod_000015,Plant Model 15,Home & Garden,247.59
prod_000016,Building Blocks Model 16,Toys,491.21
prod_000017,Plant Model 17,Home & Garden,293.91
prod_000018,Smart Watch Model 18,Electronics,479.64
prod_000019,Golf Clubs Model 19,Sports,104.01
prod_000020,Yoga Mat Model 20,Sports,396.91
prod_000021,Soccer Ball Model 21,Sports,387.98
prod_000022,Bedding Model 22,Home & Garden,199.75
prod_000023,Headphones Model 23,Electronics,316.29
prod_000024,Keyboard Model 24,Electronics,386.34
prod_000025,Car Cover Model 25,Automotive,492.53
prod_000026,Science Model 26,Books,112.12
prod_000027,Tennis Racket Model 27,Sports,79.11
prod_000028,Decoration Model 28,Home & Garden,432.08
prod_000029,Cookbook Model 29,Books,413.84
prod_000030,T-Shirt Model 30,Clothing,485.32
prod_000031,Action Figure Model 31,Toys,156.2
prod_000032,Poetry Model 32,Books,106.83
prod_000033,Smart Watch Model 33,Electronics,329.04
prod_000034,Hoodie Model 34,Clothing,493.24
prod_000035,Yoga Mat Model 35,Sports,361.69
prod_000036,Tool Set Model 36,Automotive,183.36
prod_000037,Tire Model 37,Automotive,210.85
prod_000038,LEGO Set Model 38,Toys,299.01
prod_000039,Garden Tools Model 39,Home & Garden,359.11
prod_000040,Toy Train Model 40,Toys,368.82
prod_000041,Camera Model 41,Electronics,47.34
prod_000042,LEGO Set Model 42,Toys,213.55
prod_000043,Comic Model 43,Books,197.8
